prospect_name,prospect_url,prospect_type,confidence,contact_channel,list_type,added_at
all-classification-templetes-for-ML,https://github.com/sayantann11/all-classification-templetes-for-ML,Repository,0.1741827,"{""channel_type"":""GitHub"",""value"":""https://github.com/sayantann11"",""verified"":true}",OpenSource,2026-08-06T22:58:20.923966294Z
turbo-garbanzo,https://github.com/mercerheather476/turbo-garbanzo,Repository,0.14632204,"{""channel_type"":""GitHub"",""value"":""https://github.com/mercerheather476"",""verified"":true}",OpenSource,2026-08-06T22:58:20.923966820Z
VAIXLNS,https://github.com/VAIXLNS/VAIXLNS,Repository,0.1090309,"{""channel_type"":""GitHub"",""value"":""https://github.com/VAIXLNS"",""verified"":true}",OpenSource,2026-08-06T22:58:20.923966951Z
DevOps-Workflow-for-Automatically-Building-and-Analyzing-Software-Applications,https://github.com/DhananjayGupta300/DevOps-Workflow-for-Automatically-Building-and-Analyzing-Software-Applications,Repository,0.1090309,"{""channel_type"":""GitHub"",""value"":""https://github.com/DhananjayGupta300"",""verified"":true}",OpenSource,2026-08-06T22:58:20.923967048Z
